Edad,Género,Ingresos,Altura,Ciudad,Nivel_Educación,Hijos
85.0,F,20997.0,1.92,New York,Bachelor,1
46.0,M,20337.0,1.81,Houston,Master,4
42.0,M,83211.0,1.68,New York,Master,5
61.0,M,66643.0,1.68,New York,Master,3
60.0,M,66706.0,1.54,Los Angeles,Phd,5
70.0,M,32249.0,1.52,Chicago,Phd,1
,,175480.0,1.61,,Phd,0
71.0,M,77055.0,1.97,Chicago,Bachelor,4
57.0,M,63380.0,1.86,Houston,Phd,0
18.0,M,47043.0,1.93,Chicago,,2
90.0,M,45618.0,1.78,Los Angeles,Master,2
70.0,F,91321.0,1.54,Chicago,Bachelor,5
,,166909.0,1.53,,Bachelors,0
76.0,F,45719.0,1.82,Houston,Bachelor,0
77.0,M,60872.0,1.81,Houston,,3
59.0,F,53485.0,1.57,Houston,,5
81.0,M,22633.0,1.8,Houston,,1
,,,1.65,,Mastre,0
82.0,M,70294.0,1.72,Los Angeles,Bachelor,3
,,,1.87,,Phd,0
56.0,M,96856.0,1.83,Chicago,Master,3
68.0,F,65313.0,1.63,Houston,,5
82.0,M,82483.0,1.79,Phoenix,Bachelor,3
82.0,M,59861.0,1.71,Chicago,Master,1
69.0,M,48106.0,1.86,Houston,,1
40.0,M,85307.0,1.64,New York,Bachelor,0
45.0,F,57791.0,1.96,Houston,Bachelor,1
62.0,M,71462.0,1.59,Phoenix,Bachelor,4
70.0,F,70608.0,1.87,New York,Master,3
30.0,F,96551.0,1.7,Phoenix,,4
12.0,F,80012.0,1.76,Phoenix,Bachelor,0
57.0,M,62238.0,1.69,New York,Phd,4
40.0,F,34940.0,1.83,Chicago,Phd,0
47.0,F,23272.0,1.55,Houston,Master,0
53.0,M,87765.0,1.62,Phoenix,,5
34.0,F,66879.0,1.56,Houston,Master,1
20.0,M,60606.0,1.83,Los Angeles,Master,5
39.0,M,59907.0,1.56,Houston,Master,0
2.0,M,67075.0,1.83,New York,,3
1.0,F,68968.0,1.65,Houston,,5
67.0,F,84232.0,1.62,Houston,Bachelor,0
98.0,M,49693.0,1.99,New York,Phd,2
18.0,F,55560.0,1.92,Phoenix,Master,1
45.0,M,96218.0,1.54,Chicago,Master,4
,,,1.91,,Bachelors,0
61.0,M,71474.0,1.58,Houston,,0
69.0,M,52394.0,1.65,Houston,Bachelor,3
2.0,F,68662.0,1.52,Houston,Phd,1
89.0,F,28530.0,1.94,Houston,Master,2
63.0,F,81099.0,1.83,Phoenix,Phd,3
97.0,F,96520.0,1.79,Houston,Bachelor,2
,,,1.74,,Bachelors,0
39.0,F,50335.0,1.88,Los Angeles,,5
2.0,F,32196.0,1.91,Houston,Bachelor,4
99.0,F,61430.0,1.53,Phoenix,Master,1
56.0,M,22334.0,1.83,Los Angeles,Phd,1
38.0,M,51374.0,1.66,Los Angeles,Bachelor,1
77.0,F,48375.0,1.88,Chicago,Phd,2
,,188965.0,1.87,,No Education,0
1.0,F,31901.0,1.92,Los Angeles,Bachelor,2
71.0,F,88733.0,1.61,Chicago,Master,5
48.0,M,66378.0,1.79,New York,Bachelor,5
,,172202.0,1.59,,Bachelors,0
53.0,F,37513.0,1.96,Los Angeles,,5
72.0,M,72030.0,1.51,Chicago,Phd,0
56.0,M,82183.0,1.69,Phoenix,Phd,4
51.0,F,62577.0,1.96,New York,Bachelor,0
,,155578.0,1.82,,Bachelors,0
21.0,F,40954.0,1.87,Los Angeles,Master,5
92.0,M,54484.0,1.76,Phoenix,Bachelor,5
95.0,F,35441.0,1.59,Phoenix,Bachelor,2
83.0,F,30573.0,1.59,Houston,Master,0
50.0,F,41711.0,1.82,Chicago,Master,5
,,162137.0,1.5,,Bachelors,0
29.0,M,79816.0,1.84,Chicago,,5
34.0,F,87068.0,1.5,Houston,Bachelor,3
11.0,M,29231.0,1.87,Los Angeles,Phd,2
,,191583.0,1.7,,Bachelors,0
81.0,M,94295.0,1.62,Phoenix,Master,3
,,150236.0,1.54,,Bachelors,0
67.0,M,78045.0,1.94,New York,Phd,5
98.0,F,83841.0,1.81,New York,Master,1
,,191701.0,1.55,,No Education,0
,,,1.58,,Bachelors,0
88.0,F,78813.0,1.74,Chicago,Bachelor,5
35.0,F,27706.0,1.87,Chicago,Master,0
37.0,F,72964.0,1.95,Houston,,0
84.0,M,57579.0,1.74,Houston,Phd,2
96.0,M,51488.0,1.72,Houston,Master,2
69.0,F,57508.0,1.59,Los Angeles,,1
35.0,F,27107.0,1.73,Chicago,Phd,1
53.0,F,29673.0,2.0,Phoenix,Bachelor,2
,,170020.0,1.6,,Phd,0
9.0,F,26489.0,1.78,Phoenix,Master,0
24.0,F,51908.0,1.52,New York,Master,0
18.0,M,54943.0,1.84,New York,Phd,0
38.0,F,40232.0,1.82,Houston,Master,3
15.0,M,22815.0,1.67,Phoenix,Master,1
82.0,M,35814.0,1.74,New York,Bachelor,4
59.0,F,72550.0,1.81,Los Angeles,Master,5
80.0,M,99419.0,1.83,Phoenix,Bachelor,5
58.0,M,35805.0,1.59,Chicago,Bachelor,5
35.0,F,69427.0,1.69,Houston,,3
90.0,M,45610.0,1.66,Chicago,Bachelor,0
80.0,F,31292.0,1.88,Phoenix,Phd,4
63.0,M,95226.0,1.67,Chicago,Master,4
25.0,M,84312.0,1.84,New York,Phd,2
42.0,M,41617.0,1.95,New York,Phd,3
3.0,F,27751.0,1.52,Chicago,Master,5
20.0,F,70455.0,1.97,Phoenix,,2
7.0,M,37149.0,1.96,Los Angeles,,1
69.0,F,38257.0,1.62,New York,Phd,0
3.0,M,79275.0,1.62,Chicago,Phd,0
24.0,F,68911.0,1.63,Phoenix,Master,1
14.0,F,85004.0,1.68,Chicago,Master,0
37.0,M,47748.0,1.54,Los Angeles,Master,0
35.0,M,80206.0,1.82,New York,Phd,3
,,180677.0,1.74,,Phd,0
92.0,F,86111.0,1.7,Phoenix,Master,2
57.0,F,26613.0,1.53,New York,Phd,4
94.0,M,42368.0,1.82,New York,Phd,4
2.0,F,95129.0,1.57,Chicago,Phd,3
30.0,M,82761.0,1.63,Los Angeles,Master,3
12.0,M,94883.0,1.74,New York,Bachelor,4
20.0,M,59987.0,1.59,New York,,0
2.0,F,90945.0,1.9,Chicago,Phd,5
64.0,F,40947.0,1.78,Houston,Phd,1
,,167526.0,1.67,,No Education,0
,,154910.0,1.69,,Phd,0
54.0,F,50593.0,1.79,Houston,Bachelor,1
40.0,M,29881.0,1.66,Phoenix,,0
64.0,M,21418.0,1.95,Los Angeles,Master,4
48.0,F,31259.0,1.95,Houston,Bachelor,3
60.0,F,69028.0,1.6,New York,Bachelor,5
,,,1.96,,Phd,0
5.0,M,48422.0,1.83,Houston,,3
43.0,F,46554.0,1.74,New York,Bachelor,2
11.0,F,28238.0,1.9,Los Angeles,Master,2
97.0,M,21840.0,1.88,Phoenix,Bachelor,4
19.0,F,44625.0,1.8,Los Angeles,Bachelor,1
8.0,F,54713.0,1.97,Phoenix,Bachelor,0
35.0,M,26962.0,1.6,New York,Master,5
100.0,M,24140.0,1.9,Chicago,Master,4
,,,1.52,,No Education,0
10.0,M,64869.0,1.51,Houston,Bachelor,1
,,196436.0,1.53,,Phd,0
61.0,M,23520.0,1.69,Houston,Master,4
24.0,F,82772.0,1.68,New York,Master,5
25.0,F,62989.0,1.68,Houston,Master,0
33.0,M,81076.0,1.61,Los Angeles,,1
49.0,M,95344.0,1.53,Chicago,,1
2.0,M,31965.0,1.78,Chicago,Bachelor,0
16.0,F,98784.0,1.79,Los Angeles,Phd,1
99.0,F,94123.0,1.92,Phoenix,,2
92.0,M,49396.0,1.84,Chicago,Master,2
32.0,M,29402.0,1.62,Houston,Master,2
50.0,M,32372.0,1.59,Phoenix,Master,2
99.0,M,55583.0,1.9,Houston,,1
,,197834.0,1.5,,Mastre,0
32.0,F,46814.0,1.69,Chicago,Bachelor,3
95.0,F,73312.0,1.92,Chicago,Bachelor,4
5.0,M,24348.0,1.82,New York,Master,2
,,174623.0,1.79,,Mastre,0
59.0,F,56370.0,1.6,Houston,Phd,1
95.0,M,69779.0,1.54,Chicago,Master,5
99.0,M,52701.0,1.68,Houston,Phd,4
13.0,M,40009.0,1.83,Los Angeles,Master,1
,,,1.76,,Mastre,0
86.0,F,88209.0,1.82,Chicago,,4
,,,1.89,,Bachelors,0
61.0,M,79192.0,1.89,New York,Bachelor,1
,,161346.0,1.76,,Phd,0
88.0,F,38973.0,1.65,Chicago,Phd,1
40.0,F,63710.0,1.88,Chicago,,2
42.0,F,22925.0,1.95,New York,Phd,0
21.0,M,64396.0,1.59,Houston,Bachelor,2
81.0,M,89023.0,1.83,Houston,Phd,4
94.0,F,40288.0,1.84,Los Angeles,,1
6.0,F,30710.0,1.61,Los Angeles,Bachelor,2
,,,1.51,,Mastre,0
,,196045.0,1.91,,Bachelors,0
67.0,M,77161.0,1.87,Phoenix,,1
16.0,M,30176.0,1.6,Phoenix,,0
33.0,F,62756.0,1.59,New York,Phd,3
62.0,M,69051.0,1.87,New York,Phd,4
82.0,F,75795.0,1.94,Chicago,Phd,1
39.0,M,94025.0,1.73,Phoenix,,1
26.0,F,90296.0,1.54,Houston,Master,0
47.0,M,34131.0,1.87,New York,Master,0
,,196923.0,1.85,,No Education,0
86.0,F,49724.0,1.79,Houston,Master,1
,,,1.55,,No Education,0
15.0,F,23524.0,1.84,Houston,,5
31.0,F,81315.0,1.64,Houston,Phd,2
82.0,F,37614.0,1.73,New York,,0
56.0,F,99882.0,1.53,Phoenix,Master,3
42.0,F,68235.0,1.86,New York,Bachelor,2
2.0,M,20658.0,1.57,Houston,Bachelor,0
22.0,F,42131.0,1.73,Chicago,,1
36.0,M,83350.0,1.79,Chicago,Master,1
75.0,M,78685.0,1.77,New York,Bachelor,1
16.0,F,36419.0,1.66,New York,Master,3
51.0,M,63284.0,1.88,Phoenix,Phd,3
32.0,M,80447.0,1.64,Los Angeles,Phd,3
2.0,F,91590.0,1.79,Phoenix,Phd,0
6.0,M,80768.0,1.83,Chicago,,2
75.0,F,64433.0,1.75,Houston,,0
89.0,M,76881.0,1.68,Chicago,Phd,1
61.0,F,20899.0,1.68,New York,Master,4
89.0,F,37119.0,1.69,Phoenix,,2
77.0,F,87218.0,1.85,Houston,Master,4
20.0,F,68809.0,1.55,Los Angeles,,3
48.0,M,46344.0,1.7,Los Angeles,Master,2
99.0,F,84028.0,1.9,Chicago,Master,3
,,,1.74,,No Education,0
,,,1.91,,Bachelors,0
21.0,M,96592.0,1.55,Chicago,Bachelor,3
64.0,F,87538.0,1.89,Los Angeles,Phd,5
12.0,M,68609.0,1.63,Phoenix,Master,5
88.0,F,96611.0,1.7,Los Angeles,Phd,1
80.0,F,31871.0,1.51,Houston,Phd,0
44.0,M,62542.0,1.83,Houston,Bachelor,3
98.0,F,82513.0,1.67,Houston,,3
81.0,M,26542.0,1.73,Chicago,,5
8.0,F,51123.0,1.52,Chicago,Phd,2
8.0,M,41170.0,1.82,Chicago,,1
,,183179.0,1.98,,Phd,0
83.0,F,34233.0,1.76,Los Angeles,Master,4
20.0,F,35554.0,1.54,Houston,Master,0
90.0,M,27549.0,1.98,New York,,5
69.0,F,87142.0,1.67,New York,Bachelor,2
14.0,M,43886.0,1.84,Chicago,Master,0
17.0,F,98202.0,1.79,Los Angeles,Bachelor,3
63.0,F,55116.0,1.68,Phoenix,Phd,1
30.0,M,33185.0,1.75,Phoenix,Master,1
41.0,F,40306.0,1.9,Phoenix,Phd,0
72.0,F,99516.0,1.57,Chicago,,3
83.0,M,69955.0,1.97,New York,Phd,3
97.0,F,78416.0,1.8,Houston,Master,2
45.0,F,68918.0,1.89,New York,,5
57.0,M,30273.0,1.94,New York,,3
94.0,F,74123.0,1.74,New York,,1
25.0,F,20939.0,1.78,Los Angeles,Phd,3
3.0,F,20411.0,1.92,New York,Master,4
89.0,M,43338.0,1.53,Houston,Bachelor,4
49.0,M,35435.0,1.68,Phoenix,,1
46.0,F,27883.0,1.9,Phoenix,Bachelor,1
93.0,F,35584.0,1.66,Chicago,Bachelor,1
18.0,F,98449.0,1.59,New York,Phd,1
,,165180.0,1.51,,Phd,0
6.0,F,62512.0,1.53,New York,Phd,4
63.0,F,58442.0,1.56,Phoenix,Bachelor,3
91.0,M,90292.0,1.68,New York,,2
57.0,F,29890.0,1.63,Phoenix,,5
72.0,F,61538.0,1.74,Phoenix,,5
38.0,F,47185.0,1.52,New York,Master,5
,,,1.79,,Bachelors,0
90.0,M,30854.0,1.52,New York,Phd,4
63.0,F,45331.0,1.94,Chicago,Bachelor,5
25.0,M,28436.0,1.57,Los Angeles,Phd,4
73.0,M,27758.0,1.57,Chicago,Bachelor,2
,,,1.91,,No Education,0
70.0,M,43106.0,1.6,Los Angeles,Phd,0
45.0,M,95077.0,1.81,Houston,Phd,4
42.0,M,66952.0,1.69,Houston,Master,2
94.0,M,21547.0,1.72,Phoenix,Bachelor,3
60.0,M,48668.0,1.71,Los Angeles,Phd,1
36.0,F,58850.0,1.56,Los Angeles,Bachelor,3
77.0,M,55496.0,1.6,New York,,5
71.0,M,39930.0,1.51,Phoenix,,0
21.0,F,67373.0,1.83,New York,Bachelor,1
9.0,F,75021.0,1.94,Chicago,Master,0
68.0,F,74865.0,1.7,Chicago,,2
20.0,F,59175.0,1.79,Houston,Phd,3
58.0,M,50398.0,1.68,Chicago,Master,5
38.0,M,91447.0,1.61,Chicago,Phd,5
34.0,M,24948.0,1.99,Chicago,,4
70.0,F,59382.0,1.84,Los Angeles,,5
47.0,F,54403.0,1.96,Houston,Master,2
59.0,M,43994.0,1.97,Los Angeles,Master,3
1.0,M,57414.0,1.52,Houston,Phd,0
100.0,F,75737.0,1.55,Chicago,Bachelor,3
,,189869.0,1.65,,Phd,0
65.0,M,95880.0,1.55,New York,,2
49.0,F,35237.0,1.74,New York,Phd,5
94.0,M,39400.0,1.73,New York,Phd,1
,,184555.0,1.91,,Bachelors,0
,,192793.0,1.73,,No Education,0
80.0,F,74636.0,1.95,New York,,3
47.0,F,81998.0,1.55,New York,,3
,,176925.0,1.62,,No Education,0
80.0,F,57749.0,1.51,New York,Phd,0
,,,1.56,,No Education,0
42.0,F,76881.0,1.91,Los Angeles,Bachelor,4
93.0,F,75987.0,1.55,New York,Phd,0
9.0,M,54229.0,1.65,New York,Master,2
85.0,F,36253.0,1.84,Los Angeles,Phd,5
69.0,M,60083.0,1.57,Chicago,,0
50.0,F,75541.0,1.72,Houston,Phd,5
25.0,F,98361.0,1.83,Los Angeles,Master,4
68.0,F,49795.0,1.76,New York,Phd,3
88.0,M,49306.0,1.77,Phoenix,Master,4
64.0,M,86408.0,1.95,Chicago,Master,5
99.0,M,27628.0,1.81,Los Angeles,Master,5
71.0,F,94822.0,1.8,Phoenix,Master,3
20.0,F,83547.0,1.89,New York,,0
,,182306.0,1.68,,No Education,0
37.0,F,91241.0,1.84,Los Angeles,Bachelor,3
42.0,M,86942.0,1.7,New York,,4
53.0,M,48114.0,1.9,Phoenix,Master,4
83.0,F,58054.0,1.83,Phoenix,,1
42.0,F,62873.0,1.85,Phoenix,,0
,,,1.9,,No Education,0
13.0,F,56621.0,1.9,Chicago,,5
67.0,M,26860.0,1.65,Houston,Bachelor,5
85.0,M,94439.0,1.8,Los Angeles,Master,3
9.0,F,90579.0,1.74,New York,,0
6.0,M,73384.0,1.7,Houston,Master,2
17.0,M,57114.0,1.96,New York,Master,5
23.0,M,35109.0,1.62,Chicago,Master,1
5.0,F,23423.0,1.69,Houston,,0
26.0,F,51713.0,1.76,Los Angeles,Phd,2
14.0,M,97748.0,1.73,Chicago,Bachelor,0
,,,1.94,,No Education,0
25.0,M,30528.0,1.92,Houston,Phd,2
13.0,F,86012.0,1.93,Houston,Master,1
5.0,F,61649.0,1.95,Chicago,Phd,0
74.0,M,99797.0,1.66,Los Angeles,Master,2
83.0,F,47248.0,1.85,Houston,Phd,0
50.0,F,67410.0,1.55,New York,Master,0
85.0,F,57683.0,1.6,Houston,,2
63.0,F,32994.0,1.78,Houston,Master,3
68.0,M,20844.0,1.88,Houston,Bachelor,1
80.0,F,27671.0,1.57,Houston,Phd,0
90.0,M,75847.0,1.98,New York,Master,3
76.0,F,95776.0,1.71,Los Angeles,,1
33.0,F,89043.0,1.83,New York,Bachelor,5
7.0,M,62258.0,1.97,Houston,Master,2
47.0,F,86603.0,1.54,Los Angeles,Bachelor,1
29.0,M,46376.0,1.71,Phoenix,,4
78.0,M,82906.0,1.64,Houston,,2
92.0,F,99841.0,1.79,Los Angeles,Phd,0
10.0,M,80716.0,1.79,Los Angeles,Bachelor,1
2.0,F,39532.0,1.61,Chicago,,2
27.0,F,95407.0,1.57,Phoenix,Master,3
84.0,M,27128.0,1.64,Los Angeles,Master,3
63.0,M,72626.0,1.78,Chicago,Master,2
11.0,M,59433.0,1.6,New York,,4
60.0,M,46682.0,1.74,Chicago,Master,5
82.0,M,41915.0,1.96,Los Angeles,Phd,3
8.0,F,48603.0,1.54,Phoenix,,1
47.0,M,44347.0,1.78,New York,Phd,2
72.0,M,66061.0,1.86,Los Angeles,Bachelor,0
96.0,M,51517.0,1.64,Los Angeles,,2
,,,1.94,,Phd,0
48.0,M,76272.0,1.62,Houston,Bachelor,3
,,197105.0,1.93,,Bachelors,0
8.0,M,68073.0,1.96,New York,Master,0
79.0,F,48645.0,1.81,Phoenix,Phd,4
35.0,M,62607.0,1.68,Houston,Bachelor,4
68.0,M,31934.0,1.82,New York,Phd,1
6.0,F,50231.0,1.77,Chicago,Master,2
94.0,F,72051.0,1.51,Houston,,5
10.0,F,32564.0,1.92,Phoenix,Master,4
,,161026.0,1.85,,Phd,0
,,,1.51,,Bachelors,0
28.0,F,27981.0,1.62,New York,Master,4
67.0,M,45563.0,1.94,Chicago,Master,1
13.0,F,71474.0,1.61,Chicago,Master,1
13.0,F,50886.0,1.52,Houston,,4
,,,1.76,,Bachelors,0
30.0,M,20572.0,1.55,Los Angeles,,2
,,164390.0,1.56,,No Education,0
,,198446.0,1.62,,Phd,0
25.0,M,35748.0,1.95,Houston,Master,5
25.0,M,63318.0,1.96,New York,Bachelor,5
68.0,M,21055.0,1.52,Phoenix,Phd,2
85.0,M,52955.0,1.96,Chicago,Bachelor,2
32.0,M,72078.0,1.97,Houston,Master,4
,,164301.0,1.68,,Bachelors,0
81.0,M,65601.0,1.52,Chicago,Phd,3
23.0,F,52194.0,1.55,Chicago,Phd,3
72.0,M,97487.0,1.85,Los Angeles,,2
96.0,F,81309.0,2.0,Phoenix,,1
72.0,M,72556.0,1.89,Houston,Phd,4
54.0,M,80836.0,1.97,Los Angeles,Bachelor,2
96.0,M,46979.0,1.71,New York,Bachelor,1
14.0,M,88277.0,1.82,Phoenix,Bachelor,4
99.0,M,54080.0,1.53,New York,Bachelor,5
,,,1.88,,No Education,0
74.0,F,46725.0,1.57,New York,Master,5
46.0,M,55762.0,1.7,Houston,,5
87.0,M,47939.0,1.87,Houston,Bachelor,3
59.0,M,66570.0,1.86,New York,Phd,0
90.0,F,91347.0,1.66,New York,Master,0
86.0,M,80291.0,1.92,New York,Phd,1
55.0,M,50648.0,1.76,Houston,Phd,3
14.0,M,32502.0,1.57,Phoenix,Phd,4
22.0,F,82436.0,1.57,Phoenix,Master,2
24.0,F,97354.0,1.9,Chicago,,0
71.0,M,55596.0,1.52,Chicago,Phd,1
52.0,F,81027.0,1.76,New York,,2
65.0,F,48585.0,1.9,Houston,Master,3
44.0,F,61713.0,1.82,Chicago,,0
85.0,F,51553.0,1.94,Phoenix,,2
21.0,F,47342.0,1.7,Chicago,,2
69.0,M,49836.0,1.66,Los Angeles,Bachelor,2
77.0,F,80318.0,1.58,Phoenix,,3
57.0,M,70209.0,1.81,Chicago,Master,0
,,,1.58,,Bachelors,0
41.0,F,78853.0,1.87,Houston,,5
71.0,M,58447.0,1.63,Houston,,5
42.0,F,87332.0,1.71,New York,Master,1
48.0,M,39311.0,1.91,Chicago,Bachelor,3
53.0,M,88087.0,1.52,Chicago,,0
98.0,M,99988.0,1.55,Los Angeles,Phd,0
82.0,M,25581.0,1.95,Houston,Phd,0
56.0,M,47326.0,1.95,Phoenix,Phd,3
,,170077.0,1.89,,Mastre,0
42.0,F,64188.0,1.75,New York,Phd,3
78.0,M,78321.0,1.96,New York,Bachelor,5
31.0,M,69260.0,1.88,Houston,Phd,0
73.0,F,90228.0,1.96,Chicago,,5
70.0,F,81345.0,1.57,Chicago,Master,4
28.0,F,88830.0,1.88,Chicago,Master,4
49.0,M,83211.0,1.71,Chicago,Master,1
99.0,F,74328.0,1.94,New York,Master,5
71.0,M,94102.0,1.98,New York,Bachelor,3
96.0,M,81795.0,1.74,Chicago,Phd,4
33.0,F,66088.0,1.83,New York,Master,2
47.0,F,21279.0,1.99,Chicago,Bachelor,2
,,192673.0,1.68,,No Education,0
58.0,M,21825.0,1.8,Chicago,Bachelor,0
51.0,F,95341.0,1.71,Phoenix,Bachelor,2
1.0,M,43545.0,1.52,New York,,5
93.0,M,38825.0,1.85,Phoenix,Phd,3
5.0,F,57540.0,1.88,New York,Bachelor,4
37.0,F,99569.0,1.96,New York,Bachelor,1
77.0,F,48256.0,1.7,Chicago,Master,1
3.0,F,97292.0,1.66,Phoenix,Master,3
67.0,F,34428.0,1.65,Phoenix,,1
18.0,M,67678.0,1.85,Phoenix,,2
39.0,F,85572.0,1.79,Phoenix,Phd,3
1.0,F,67097.0,1.51,Los Angeles,Master,0
39.0,M,24525.0,1.93,Phoenix,Master,1
29.0,M,91005.0,1.68,Chicago,Phd,1
28.0,F,52336.0,1.94,Houston,Phd,1
41.0,F,56384.0,1.81,Los Angeles,Master,5
,,,1.99,,Bachelors,0
99.0,F,38605.0,1.65,New York,Master,4
89.0,F,40202.0,1.64,Phoenix,Bachelor,0
36.0,M,25458.0,1.72,Los Angeles,Master,3
71.0,F,59770.0,1.65,Los Angeles,,0
66.0,M,31211.0,1.86,Houston,,2
72.0,F,80505.0,1.56,Chicago,Phd,1
74.0,M,96994.0,1.76,Houston,Bachelor,0
74.0,F,95064.0,1.76,Houston,Master,1
20.0,F,82576.0,1.87,New York,,5
13.0,F,54447.0,1.82,New York,Master,4
5.0,M,55724.0,1.82,Los Angeles,,5
59.0,F,92244.0,1.54,Chicago,Phd,0
46.0,M,43513.0,1.76,Los Angeles,,4
,,195038.0,1.53,,Mastre,0
18.0,M,65860.0,1.87,Houston,Bachelor,0
34.0,F,33018.0,1.89,Phoenix,Bachelor,1
47.0,F,62969.0,1.84,Phoenix,Bachelor,5
75.0,M,67021.0,1.58,Phoenix,,3
32.0,M,27493.0,1.88,New York,Bachelor,4
,,182028.0,1.65,,Phd,0
33.0,F,97371.0,1.61,Phoenix,Master,3
39.0,F,83376.0,1.8,Los Angeles,Bachelor,1
12.0,M,85186.0,1.86,Los Angeles,Master,5
74.0,M,43016.0,1.64,Phoenix,,3
52.0,F,69527.0,1.75,Houston,Bachelor,2
73.0,M,95506.0,1.81,Los Angeles,Bachelor,2
28.0,M,73857.0,1.64,Los Angeles,Bachelor,4
,,,1.95,,No Education,0
10.0,M,31296.0,1.96,New York,Master,0
93.0,M,28838.0,1.52,Phoenix,Bachelor,2
42.0,F,24363.0,1.64,Chicago,,0
62.0,F,41891.0,1.95,New York,Master,3
23.0,M,24620.0,1.51,Los Angeles,Master,5
63.0,M,34276.0,1.59,Phoenix,,0
89.0,M,76471.0,1.6,Houston,Phd,1
90.0,F,20401.0,1.7,Los Angeles,Bachelor,3
74.0,M,89641.0,1.97,Houston,,3
13.0,M,95628.0,1.61,New York,,1
77.0,M,22537.0,1.57,New York,,3
83.0,M,47581.0,1.68,New York,Bachelor,1
39.0,F,34270.0,2.0,Chicago,Phd,0
5.0,F,50539.0,1.7,New York,Phd,3
94.0,F,72059.0,1.86,Chicago,Phd,3
74.0,M,84204.0,1.82,New York,Bachelor,2
49.0,M,24416.0,1.92,Los Angeles,Master,0
11.0,F,37629.0,1.68,Chicago,Master,5
100.0,M,76418.0,1.97,Phoenix,Master,1
8.0,M,67137.0,1.56,New York,Phd,0
99.0,F,29744.0,1.68,Houston,Phd,3
43.0,M,79315.0,1.54,New York,Phd,1
45.0,F,29193.0,1.98,Houston,Master,2
56.0,F,72919.0,1.85,Los Angeles,Phd,3
54.0,M,27534.0,1.54,Chicago,Master,0
16.0,F,40831.0,1.78,Phoenix,Phd,2
99.0,M,26297.0,1.58,Houston,Bachelor,5
30.0,F,21105.0,1.53,Houston,Bachelor,1
,,,2.0,,Bachelors,0
84.0,F,82929.0,1.88,Chicago,Bachelor,0
78.0,M,67163.0,1.53,New York,,1
2.0,F,35646.0,1.89,Phoenix,Master,1
82.0,M,86303.0,1.64,Chicago,Master,5
,,176396.0,1.81,,Bachelors,0
81.0,M,73010.0,1.59,New York,Phd,4
,,174117.0,1.58,,Mastre,0
7.0,F,46573.0,1.66,Los Angeles,,0
40.0,F,43910.0,1.99,Phoenix,Phd,4
68.0,F,44892.0,1.86,Los Angeles,Phd,1
6.0,F,71182.0,1.61,New York,,1
41.0,F,24374.0,1.61,Phoenix,Bachelor,1
70.0,M,52724.0,1.61,New York,Bachelor,0
73.0,M,41748.0,1.89,Chicago,,1
20.0,F,69708.0,1.56,Chicago,Phd,5
,,192914.0,1.91,,No Education,0
65.0,M,81929.0,1.72,Phoenix,Master,3
90.0,M,92352.0,1.94,Houston,Master,2
,,180420.0,1.59,,Bachelors,0
20.0,F,83829.0,1.58,New York,Bachelor,0
7.0,F,86990.0,1.74,Chicago,Bachelor,2
87.0,M,47306.0,1.55,Houston,Master,0
94.0,M,99022.0,1.59,Houston,,2
,,,1.55,,No Education,0
58.0,F,24012.0,1.62,Chicago,Phd,4
97.0,F,46081.0,1.86,Phoenix,Master,2
77.0,M,59557.0,1.93,Phoenix,Bachelor,2
74.0,F,47929.0,1.88,Phoenix,Master,1
65.0,M,66626.0,1.66,Houston,Bachelor,0
12.0,M,92190.0,1.77,Chicago,Master,0
29.0,M,35949.0,1.67,Los Angeles,,1
56.0,F,36294.0,1.83,Phoenix,Bachelor,1
,,,1.8,,Mastre,0
,,,1.61,,Bachelors,0
19.0,M,52900.0,1.95,Los Angeles,Bachelor,0
17.0,M,87208.0,1.55,Phoenix,Bachelor,4
44.0,M,63218.0,1.69,Houston,Master,3
11.0,F,70560.0,1.81,Houston,Bachelor,1
61.0,M,32725.0,1.83,Houston,,5
74.0,F,65784.0,1.67,Houston,,2
96.0,F,48063.0,1.98,New York,Bachelor,2
7.0,M,30769.0,1.67,Phoenix,Phd,2
71.0,F,61463.0,1.8,New York,Master,0
52.0,F,80826.0,1.95,Houston,,5
34.0,F,88755.0,1.64,Chicago,,3
11.0,F,87361.0,1.89,Phoenix,Master,0
52.0,M,74119.0,1.84,Chicago,Bachelor,0
65.0,F,86832.0,1.96,Houston,Master,0
56.0,F,60618.0,1.53,Chicago,Phd,5
100.0,F,95690.0,1.56,Chicago,Phd,2
90.0,F,29755.0,1.91,Phoenix,Master,3
17.0,F,44629.0,1.96,New York,Phd,2
98.0,M,48347.0,1.53,Phoenix,Master,0
18.0,M,26885.0,1.75,Houston,Master,4
62.0,M,69322.0,1.86,Houston,Master,1
72.0,M,50170.0,1.59,Chicago,Master,0
26.0,F,57050.0,1.83,Phoenix,Phd,2
63.0,M,46676.0,1.76,Los Angeles,Phd,2
51.0,M,91465.0,1.76,New York,Phd,0
84.0,F,79773.0,1.86,Phoenix,Phd,4
74.0,M,55444.0,1.91,Phoenix,Phd,2
26.0,F,70096.0,1.87,Chicago,Bachelor,4
72.0,F,31540.0,1.97,Los Angeles,,1
79.0,F,38565.0,1.92,Chicago,Master,5
95.0,M,47795.0,1.59,New York,,4
68.0,M,78298.0,1.84,Phoenix,Phd,2
,,,1.6,,No Education,0
32.0,F,58251.0,1.88,Houston,Master,5
